filename,fitness,makespan,missed,baseline
6.10.1.json.result.jsonc,0.34624866,1039.9672,2,1078.7476708790684
6.10.2.json.result.jsonc,0.190267,1232.5642,1,1232.5642370084722
6.10.3.json.result.jsonc,0.1857717,1168.4559,1,1295.7859985616208
6.10.4.json.result.jsonc,0.3455143,821.51733,2,997.8432105109541
6.20.1.json.result.jsonc,0.030736689,4486.6816,0,4486.681346181809
6.20.2.json.result.jsonc,0.34688327,4099.7876,2,4099.787885636016
6.20.3.json.result.jsonc,0.33609343,3960.6887,2,6233.214544913807
6.20.4.json.result.jsonc,0.33703667,4245.0356,2,6174.786067461169
6.5.1.json.result.jsonc,0.1832832,498.3527,1,699.6656534991815
6.5.2.json.result.jsonc,0.20514877,546.2518,1,581.9914816603255
6.5.3.json.result.jsonc,0.1855475,590.55005,1,766.7833863800394
6.5.4.json.result.jsonc,0.19166325,565.33276,1,579.9713227928262
100.10.1.json.result.jsonc,0.47454387,1724.9088,47,1647.1931371277365
100.10.2.json.result.jsonc,0.4169851,1724.4661,41,1628.4618262977046
100.10.3.json.result.jsonc,0.40641984,1639.9281,40,1619.0297421496223
100.10.4.json.result.jsonc,0.49544153,1792.0867,49,1594.5178442311103
100.20.1.json.result.jsonc,0.3497453,4332.6147,34,4246.817838675374
100.20.2.json.result.jsonc,0.28189927,4004.8452,27,4055.993734698326
100.20.3.json.result.jsonc,0.6772617,2444.3228,70,5239.522645003226
100.20.4.json.result.jsonc,0.27418956,4601.055,26,4469.019420216559
100.30.1.json.result.jsonc,0.22503467,8599.779,21,8862.635756480926
100.30.2.json.result.jsonc,0.43733808,6373.2393,44,8683.579501894274
100.30.3.json.result.jsonc,0.5300356,5842.8394,54,9026.783650332121
100.30.4.json.result.jsonc,0.3377459,8399.545,33,9177.910754574132
100.40.1.json.result.jsonc,0.68719816,7119.4272,71,14797.055987979562
100.40.2.json.result.jsonc,0.7046683,6666.9126,73,15185.248390174867
100.40.3.json.result.jsonc,0.67091316,8952.152,69,15262.917001359594
100.40.4.json.result.jsonc,0.7520864,6104.0625,78,14666.91913577742
10.10.1.json.result.jsonc,0.12551078,1735.9501,1,1735.950029753597
10.10.2.json.result.jsonc,0.31888348,2006.7275,3,2006.7277325718107
10.10.3.json.result.jsonc,0.49406058,1102.5732,5,1818.1502668036474
10.10.4.json.result.jsonc,0.2216595,1359.6333,2,1359.633305210052
10.20.1.json.result.jsonc,0.11941443,4891.118,1,5738.066783105984
10.20.2.json.result.jsonc,0.5811927,2710.4375,6,6973.407432305421
10.20.3.json.result.jsonc,0.2117458,4978.753,2,6468.868414029823
10.20.4.json.result.jsonc,0.582763,2694.265,6,6469.04259277102
10.5.1.json.result.jsonc,0.030551946,1212.9464,0,1212.9464832192677
10.5.2.json.result.jsonc,0.31046605,576.59186,3,709.20374541352
10.5.3.json.result.jsonc,0.027632475,775.6905,0,775.6904789217117
10.5.4.json.result.jsonc,0.033476997,801.3366,0,745.4251979411413
12.10.1.json.result.jsonc,0.42250183,1590.2261,5,1669.8569829807204
12.10.2.json.result.jsonc,0.34272462,1546.5491,4,1670.9122410598095
12.10.3.json.result.jsonc,0.41510582,1289.9558,5,1788.4912930025475
12.10.4.json.result.jsonc,0.3422248,1613.4468,4,1719.958304991703
12.20.1.json.result.jsonc,0.4893613,4018.7573,6,8240.622101600888
12.20.2.json.result.jsonc,0.5693604,4712.214,7,8615.090910921224
12.20.3.json.result.jsonc,0.56147444,1431.1573,7,5974.02974337627
12.20.4.json.result.jsonc,0.41044492,3759.2886,5,7417.9968484856945
12.5.1.json.result.jsonc,0.26545846,722.73944,3,722.7394361159835
12.5.2.json.result.jsonc,0.26108307,613.1587,3,682.5606451824856
12.5.3.json.result.jsonc,0.42514825,1041.1613,5,1011.0698275268996
12.5.4.json.result.jsonc,0.34291908,822.1974,4,925.8220031419719
20.10.1.json.result.jsonc,0.21649076,1256.3763,4,1339.557602552025
20.10.2.json.result.jsonc,0.40723565,1263.8555,8,1268.6931343777678
20.10.3.json.result.jsonc,0.45543647,1065.182,9,1206.1754607013595
20.10.4.json.result.jsonc,0.26696238,1210.5006,5,1325.8547556895428
20.20.1.json.result.jsonc,0.1252551,4375.9956,2,4350.600433161287
20.20.2.json.result.jsonc,0.2684372,4041.312,5,4041.311867006855
