filename,fitness,makespan,missed,baseline
6.10.1.json.result.jsonc,0.18901844,1078.7477,1,1078.7476708790684
6.10.2.json.result.jsonc,0.190267,1232.5642,1,1232.5642370084722
6.10.3.json.result.jsonc,0.1857717,1168.4559,1,1295.7859985616208
6.10.4.json.result.jsonc,0.35155305,993.48755,2,997.8432105109541
6.20.1.json.result.jsonc,0.18907002,4486.6816,1,4486.681346181809
6.20.2.json.result.jsonc,0.34688327,4099.7876,2,4099.787885636016
6.20.3.json.result.jsonc,0.33609343,3960.6887,2,6233.214544913807
6.20.4.json.result.jsonc,0.33703667,4245.0356,2,6174.786067461169
6.5.1.json.result.jsonc,0.35303053,726.33765,2,699.6656534991815
6.5.2.json.result.jsonc,0.20514877,546.2518,1,581.9914816603255
6.5.3.json.result.jsonc,0.1855475,590.55005,1,766.7833863800394
6.5.4.json.result.jsonc,0.19166325,565.33276,1,579.9713227928262
100.10.1.json.result.jsonc,0.30604014,1878.4468,29,1647.1931371277365
100.10.2.json.result.jsonc,0.43713817,1796.8099,43,1628.4618262977046
100.10.3.json.result.jsonc,0.38890064,1731.8435,38,1619.0297421496223
100.10.4.json.result.jsonc,0.512712,1688.5718,51,1594.5178442311103
100.20.1.json.result.jsonc,0.3021538,4317.793,29,4246.817838675374
100.20.2.json.result.jsonc,0.3102787,3985.8362,30,4055.993734698326
100.20.3.json.result.jsonc,0.31877723,4839.5615,31,5239.522645003226
100.20.4.json.result.jsonc,0.17902845,4573.7905,16,4469.019420216559
100.30.1.json.result.jsonc,0.18714948,8638.443,17,8862.635756480926
100.30.2.json.result.jsonc,0.48594302,6737.3843,49,8683.579501894274
100.30.3.json.result.jsonc,0.5159692,7534.9497,52,9026.783650332121
100.30.4.json.result.jsonc,0.42293325,8291.241,42,9177.910754574132
100.40.1.json.result.jsonc,0.68719816,7119.4272,71,14797.055987979562
100.40.2.json.result.jsonc,0.7141683,6666.9126,74,15185.248390174867
100.40.3.json.result.jsonc,0.67091316,8952.152,69,15262.917001359594
100.40.4.json.result.jsonc,0.6253849,9571.911,64,14666.91913577742
10.10.1.json.result.jsonc,0.41051078,1735.9501,4,1735.950029753597
10.10.2.json.result.jsonc,0.31888348,2006.7275,3,2006.7277325718107
10.10.3.json.result.jsonc,0.49406058,1102.5732,5,1818.1502668036474
10.10.4.json.result.jsonc,0.2216595,1359.6333,2,1359.633305210052
10.20.1.json.result.jsonc,0.11941443,4891.118,1,5738.066783105984
10.20.2.json.result.jsonc,0.5811927,2710.4375,6,6973.407432305421
10.20.3.json.result.jsonc,0.11674579,4978.753,1,6468.868414029823
10.20.4.json.result.jsonc,0.582763,2694.265,6,6469.04259277102
10.5.1.json.result.jsonc,0.22347401,1328.9557,2,1212.9464832192677
10.5.2.json.result.jsonc,0.31046605,576.59186,3,709.20374541352
10.5.3.json.result.jsonc,0.027632475,775.6905,0,775.6904789217117
10.5.4.json.result.jsonc,0.033476997,801.3366,0,745.4251979411413
12.10.1.json.result.jsonc,0.34333518,1590.2261,4,1669.8569829807204
12.10.2.json.result.jsonc,0.18439128,1546.5491,2,1670.9122410598095
12.10.3.json.result.jsonc,0.41510582,1289.9558,5,1788.4912930025475
12.10.4.json.result.jsonc,0.4205942,1563.1157,5,1719.958304991703
12.20.1.json.result.jsonc,0.4893613,4018.7573,6,8240.622101600888
12.20.2.json.result.jsonc,0.5693604,4712.214,7,8615.090910921224
12.20.3.json.result.jsonc,0.56147444,1431.1573,7,5974.02974337627
12.20.4.json.result.jsonc,0.41044492,3759.2886,5,7417.9968484856945
12.5.1.json.result.jsonc,0.26545846,722.73944,3,722.7394361159835
12.5.2.json.result.jsonc,0.034683753,901.77594,0,682.5606451824856
12.5.3.json.result.jsonc,0.2641931,948.04315,3,1011.0698275268996
12.5.4.json.result.jsonc,0.03033003,949.90405,0,925.8220031419719
20.10.1.json.result.jsonc,0.26566488,1335.7754,5,1339.557602552025
20.10.2.json.result.jsonc,0.40723565,1263.8555,8,1268.6931343777678
20.10.3.json.result.jsonc,0.45543647,1065.182,9,1206.1754607013595
20.10.4.json.result.jsonc,0.501218,1077.2019,10,1325.8547556895428
20.20.1.json.result.jsonc,0.1252551,4375.9956,2,4350.600433161287
20.20.2.json.result.jsonc,0.40274674,2971.3953,8,4041.311867006855
20.20.3.json.result.jsonc,0.53825295,2977.1494,11,5505.983606715483
20.20.4.json.result.jsonc,0.4087482,4371.3013,8,4370.352230891433
20.5.1.json.result.jsonc,0.27382654,760.0163,5,624.9425617414187
20.5.2.json.result.jsonc,0.21928926,739.7008,4,712.1069823768553
20.5.3.json.result.jsonc,0.17705832,584.2001,3,480.26025043071974
20.5.4.json.result.jsonc,0.03684492,608.7962,0,518.3642017631608
50.10.1.json.result.jsonc,0.27311873,1805.4648,13,1893.3764241835136
50.10.2.json.result.jsonc,0.25907838,1768.4688,12,1544.8554615787334
50.10.3.json.result.jsonc,0.27671203,1661.9,13,1523.23889171603
50.10.4.json.result.jsonc,0.39220896,1629.8806,19,1455.8578212932475
50.20.1.json.result.jsonc,0.14345028,4339.7163,6,4050.675501179999
50.20.2.json.result.jsonc,0.35274196,4325.5854,17,4065.3832195800483
50.20.3.json.result.jsonc,0.21631545,4621.8525,10,4584.578241644871
50.20.4.json.result.jsonc,0.21431641,4719.8555,10,4476.04285736001
50.30.1.json.result.jsonc,0.21282429,7838.98,10,8873.783828187867
50.30.2.json.result.jsonc,0.32643035,6767.466,16,8037.201633097809
50.30.3.json.result.jsonc,0.23258883,7670.0664,11,8701.43730831771
50.30.4.json.result.jsonc,0.69747937,4355.396,36,8781.522367778027
50.40.1.json.result.jsonc,0.56561774,7983.461,29,14477.635234919931
50.40.2.json.result.jsonc,0.6978701,7716.2334,36,14476.635163144467
50.40.3.json.result.jsonc,0.60262036,6642.4805,31,13180.061299954115
50.40.4.json.result.jsonc,0.69636273,6239.0356,36,13193.029936403376
