filename,fitness,makespan,missed,baseline
6.10.1.json.result.jsonc,0.34678787,1058.924,2,1078.7476708790684
6.10.2.json.result.jsonc,0.18990497,1218.5906,1,1232.5642370084722
6.10.3.json.result.jsonc,0.34410504,1168.4559,2,1295.7859985616208
6.10.4.json.result.jsonc,0.3455143,821.51733,2,997.8432105109541
6.20.1.json.result.jsonc,0.030736689,4486.6816,0,4486.681346181809
6.20.2.json.result.jsonc,0.18854994,4099.7876,1,4099.787885636016
6.20.3.json.result.jsonc,0.33609343,3960.6887,2,6233.214544913807
6.20.4.json.result.jsonc,0.33703667,4245.0356,2,6174.786067461169
6.5.1.json.result.jsonc,0.1832832,498.3527,1,699.6656534991815
6.5.2.json.result.jsonc,0.20514877,546.2518,1,581.9914816603255
6.5.3.json.result.jsonc,0.1855475,590.55005,1,766.7833863800394
6.5.4.json.result.jsonc,0.19166325,565.33276,1,579.9713227928262
100.10.1.json.result.jsonc,0.47738606,1899.7246,47,1647.1931371277365
100.10.2.json.result.jsonc,0.3302087,1644.3818,32,1628.4618262977046
100.10.3.json.result.jsonc,0.37810832,1651.6263,37,1619.0297421496223
100.10.4.json.result.jsonc,0.46577653,1722.3575,46,1594.5178442311103
100.20.1.json.result.jsonc,0.35924527,4332.6147,35,4246.817838675374
100.20.2.json.result.jsonc,0.17807615,4111.573,16,4055.993734698326
100.20.3.json.result.jsonc,0.22456641,4996.8794,21,5239.522645003226
100.20.4.json.result.jsonc,0.20768957,4601.055,19,4469.019420216559
100.30.1.json.result.jsonc,0.35803467,8599.779,35,8862.635756480926
100.30.2.json.result.jsonc,0.42785957,6380.306,43,8683.579501894274
100.30.3.json.result.jsonc,0.67853403,4641.89,70,9026.783650332121
100.30.4.json.result.jsonc,0.35674587,8399.543,35,9177.910754574132
100.40.1.json.result.jsonc,0.68719816,7119.4272,71,14797.055987979562
100.40.2.json.result.jsonc,0.75216824,6666.9126,78,15185.248390174867
100.40.3.json.result.jsonc,0.67091316,8952.152,69,15262.917001359594
100.40.4.json.result.jsonc,0.77956307,5540.5674,81,14666.91913577742
10.10.1.json.result.jsonc,0.31551078,1735.9501,3,1735.950029753597
10.10.2.json.result.jsonc,0.31888348,2006.7275,3,2006.7277325718107
10.10.3.json.result.jsonc,0.49406058,1102.5732,5,1818.1502668036474
10.10.4.json.result.jsonc,0.2216595,1359.6333,2,1359.633305210052
10.20.1.json.result.jsonc,0.11941443,4891.118,1,5738.066783105984
10.20.2.json.result.jsonc,0.5811927,2710.4375,6,6973.407432305421
10.20.3.json.result.jsonc,0.11674579,4978.753,1,6468.868414029823
10.20.4.json.result.jsonc,0.4883568,2819.61,5,6469.04259277102
10.5.1.json.result.jsonc,0.22347401,1328.9557,2,1212.9464832192677
10.5.2.json.result.jsonc,0.31046605,576.59186,3,709.20374541352
10.5.3.json.result.jsonc,0.027632475,775.6905,0,775.6904789217117
10.5.4.json.result.jsonc,0.1261412,745.4252,1,745.4251979411413
12.10.1.json.result.jsonc,0.34333518,1590.2261,4,1669.8569829807204
12.10.2.json.result.jsonc,0.2659852,1690.6072,3,1670.9122410598095
12.10.3.json.result.jsonc,0.34331462,1783.6117,4,1788.4912930025475
12.10.4.json.result.jsonc,0.3422248,1613.4468,4,1719.958304991703
12.20.1.json.result.jsonc,0.4893613,4018.7573,6,8240.622101600888
12.20.2.json.result.jsonc,0.5693604,4712.214,7,8615.090910921224
12.20.3.json.result.jsonc,0.56147444,1431.1573,7,5974.02974337627
12.20.4.json.result.jsonc,0.41044492,3759.2886,5,7417.9968484856945
12.5.1.json.result.jsonc,0.26545846,722.73944,3,722.7394361159835
12.5.2.json.result.jsonc,0.18676518,739.2266,2,682.5606451824856
12.5.3.json.result.jsonc,0.34444448,986.5694,4,1011.0698275268996
12.5.4.json.result.jsonc,0.18689765,894.60406,2,925.8220031419719
20.10.1.json.result.jsonc,0.30941233,1157.8024,6,1339.557602552025
20.10.2.json.result.jsonc,0.35973564,1263.8555,7,1268.6931343777678
20.10.3.json.result.jsonc,0.3641343,1206.1754,7,1206.1754607013595
20.10.4.json.result.jsonc,0.501218,1077.2019,10,1325.8547556895428
20.20.1.json.result.jsonc,0.1252551,4375.9956,2,4350.600433161287
20.20.2.json.result.jsonc,0.4963901,2794.178,10,4041.311867006855
20.20.3.json.result.jsonc,0.53825295,2977.1494,11,5505.983606715483
20.20.4.json.result.jsonc,0.3612482,4371.3013,7,4370.352230891433
20.5.1.json.result.jsonc,0.27382654,760.0163,5,624.9425617414187
20.5.2.json.result.jsonc,0.2664291,730.6052,5,712.1069823768553
20.5.3.json.result.jsonc,0.17705832,584.2001,3,480.26025043071974
20.5.4.json.result.jsonc,0.18051381,628.11005,3,518.3642017631608
50.10.1.json.result.jsonc,0.23783362,1993.1311,11,1893.3764241835136
50.10.2.json.result.jsonc,0.38789573,1530.4606,19,1544.8554615787334
50.10.3.json.result.jsonc,0.42832488,1640.2467,21,1523.23889171603
50.10.4.json.result.jsonc,0.27582318,1505.2834,13,1455.8578212932475
50.20.1.json.result.jsonc,0.14316007,4296.9536,6,4050.675501179999
50.20.2.json.result.jsonc,0.10544946,4283.049,4,4065.3832195800483
50.20.3.json.result.jsonc,0.42223346,4080.5552,21,4584.578241644871
50.20.4.json.result.jsonc,0.2527604,4806.0356,12,4476.04285736001
50.30.1.json.result.jsonc,0.13682428,7838.98,6,8873.783828187867
50.30.2.json.result.jsonc,0.34542075,6764.557,17,8037.201633097809
50.30.3.json.result.jsonc,0.30885652,7757.1045,15,8701.43730831771
50.30.4.json.result.jsonc,0.75136834,3350.1929,39,8781.522367778027
50.40.1.json.result.jsonc,0.62025076,6690.7427,32,14477.635234919931
50.40.2.json.result.jsonc,0.6978701,7716.2334,36,14476.635163144467
50.40.3.json.result.jsonc,0.789008,4880.803,41,13180.061299954115
50.40.4.json.result.jsonc,0.62318474,7663.25,32,13193.029936403376
