filename,fitness,makespan,missed,baseline
100.10.1.json.result.jsonc,0.36126268,1769.1221,35,1647.1931371277365
100.10.2.json.result.jsonc,0.2384077,1845.093,22,1628.4618262977046
100.10.3.json.result.jsonc,0.24021702,1937.6979,22,1619.0297421496223
100.10.4.json.result.jsonc,0.40729403,1633.6261,40,1594.5178442311103
100.20.1.json.result.jsonc,0.09330331,4342.0127,7,4246.817838675374
100.20.2.json.result.jsonc,0.16832481,4071.9429,15,4055.993734698326
100.20.3.json.result.jsonc,0.22449596,4982.8345,21,5239.522645003226
100.20.4.json.result.jsonc,0.13152845,4573.7905,11,4469.019420216559
100.30.1.json.result.jsonc,0.23464777,8637.867,22,8862.635756480926
100.30.2.json.result.jsonc,0.13823214,7986.162,12,8683.579501894274
100.30.3.json.result.jsonc,0.41163674,7592.41,41,9026.783650332121
100.30.4.json.result.jsonc,0.28043327,8291.243,27,9177.910754574132
100.40.1.json.result.jsonc,0.679172,7945.7886,70,14797.055987979562
100.40.2.json.result.jsonc,0.6951683,6666.9126,72,15185.248390174867
100.40.3.json.result.jsonc,0.6424132,8952.168,66,15262.917001359594
100.40.4.json.result.jsonc,0.6056651,9175.56,62,14666.91913577742
