filename,fitness,makespan,missed,baseline
100.10.1.json.result.jsonc,0.28979316,2047.7786,27,1647.1931371277365
100.10.2.json.result.jsonc,0.23760541,1794.7562,22,1628.4618262977046
100.10.3.json.result.jsonc,0.30292392,1702.2528,29,1619.0297421496223
100.10.4.json.result.jsonc,0.2016877,1836.747,18,1594.5178442311103
100.20.1.json.result.jsonc,0.026558204,4302.307,0,4246.817838675374
100.20.2.json.result.jsonc,0.04583495,4231.216,2,4055.993734698326
100.20.3.json.result.jsonc,0.281496,4982.8345,27,5239.522645003226
100.20.4.json.result.jsonc,0.13152845,4573.7905,11,4469.019420216559
100.30.1.json.result.jsonc,0.19664948,8638.443,18,8862.635756480926
100.30.2.json.result.jsonc,0.13823214,7986.162,12,8683.579501894274
100.30.3.json.result.jsonc,0.45896924,7534.9497,46,9026.783650332121
100.30.4.json.result.jsonc,0.2617459,8399.545,25,9177.910754574132
100.40.1.json.result.jsonc,0.6885693,7888.1826,71,14797.055987979562
100.40.2.json.result.jsonc,0.7053103,7050.143,73,15185.248390174867
100.40.3.json.result.jsonc,0.65191317,8952.168,67,15262.917001359594
100.40.4.json.result.jsonc,0.58738494,9571.911,60,14666.91913577742
