filename,fitness,makespan,missed,baseline
100.10.1.json.result.jsonc,0.39451215,2061.2478,38,1647.1931371277365
100.10.2.json.result.jsonc,0.28568766,1831.2855,27,1628.4618262977046
100.10.3.json.result.jsonc,0.37789953,1638.6665,37,1619.0297421496223
100.10.4.json.result.jsonc,0.18194771,1792.4568,16,1594.5178442311103
100.20.1.json.result.jsonc,0.11230331,4342.0127,9,4246.817838675374
100.20.2.json.result.jsonc,0.11122367,4055.9934,9,4055.993734698326
100.20.3.json.result.jsonc,0.2611915,4722.7905,25,5239.522645003226
100.20.4.json.result.jsonc,0.16002846,4573.7905,14,4469.019420216559
100.30.1.json.result.jsonc,0.17764947,8638.443,16,8862.635756480926
100.30.2.json.result.jsonc,0.14773214,7986.162,13,8683.579501894274
100.30.3.json.result.jsonc,0.4494692,7534.9497,45,9026.783650332121
100.30.4.json.result.jsonc,0.25224587,8399.545,24,9177.910754574132
100.40.1.json.result.jsonc,0.679172,7945.7886,70,14797.055987979562
100.40.2.json.result.jsonc,0.6951683,6666.9126,72,15185.248390174867
100.40.3.json.result.jsonc,0.6614132,8952.168,68,15262.917001359594
100.40.4.json.result.jsonc,0.5867468,9220.576,60,14666.91913577742
