filename,fitness,makespan,missed,baseline
100.10.1.json.result.jsonc,0.16353385,1878.0612,14,1647.1931371277365
100.10.2.json.result.jsonc,0.29387417,1748.8767,28,1628.4618262977046
100.10.3.json.result.jsonc,0.28566074,1810.0609,27,1619.0297421496223
100.10.4.json.result.jsonc,0.31392187,1731.0569,30,1594.5178442311103
100.20.1.json.result.jsonc,0.036058202,4302.307,1,4246.817838675374
100.20.2.json.result.jsonc,0.10182482,4071.9429,8,4055.993734698326
100.20.3.json.result.jsonc,0.09125086,4933.972,7,5239.522645003226
100.20.4.json.result.jsonc,0.16002892,4573.8687,14,4469.019420216559
100.30.1.json.result.jsonc,0.16814947,8638.443,15,8862.635756480926
100.30.2.json.result.jsonc,0.033822615,8015.978,1,8683.579501894274
100.30.3.json.result.jsonc,0.40249264,7714.477,40,9026.783650332121
100.30.4.json.result.jsonc,0.32793325,8291.241,32,9177.910754574132
100.40.1.json.result.jsonc,0.679172,7945.7886,70,14797.055987979562
100.40.2.json.result.jsonc,0.6951683,6666.9126,72,15185.248390174867
100.40.3.json.result.jsonc,0.6614132,8952.168,68,15262.917001359594
100.40.4.json.result.jsonc,0.5867468,9220.576,60,14666.91913577742
